,job_id,mpi_time,comm_frac,total_msgs,total_bytes
0,amg,12.7780859375,0.03730828010948905,106441449.0,1008232000000.0
2,beatnik,99.90636160714286,0.2511886522434548,19996182.0,10926550043000.0
4,fiesta,65.67544642857143,0.18289333822331905,645120.0,1640000000000.0
5,kripke,17.00658482142857,0.04797344096312714,302720.0,388038679360.0
6,laghos,54.94497767857143,0.16587777848909496,801311390.0,633722271800.0
8,lammps,17.381222098214288,0.04899569301822209,457408.0,670420822000.0
10,minife,13.601356026785712,0.035032468839113234,6788000.0,382248662610.0
12,minivite,51.597265625000006,0.1389825336700337,24089720.0,1134700459640.0
13,quicksilver,133.99549665178571,0.45422202254842614,762710.0,160110400.0
15,tricount,204.07254464285717,0.5398744567271354,7120960.0,10200000956600.0
