,jobA_id,jobB_id,slowdown_A,slowdown_B
0,amg,amg,1.2968500322949315,1.0
1,amg,kripke,1.096972137269399,1.0348801344017218
2,amg,laghos,1.150884802516166,1.5636086831997105
3,amg,quicksilver,1.0022966740369277,1.0111263150876315
4,beatnik,amg,1.1441237944906,1.5470298489016447
6,beatnik,beatnik,1.584988622158472,1.5892951100416575
8,beatnik,fiesta,1.1538896354957378,1.0
9,beatnik,kripke,1.2053139044261312,1.0910525728610898
10,beatnik,laghos,1.1591858894656941,1.8204240443463122
12,beatnik,lammps,1.1719791188400746,1.1150638180379262
14,beatnik,minife,1.187216601259438,1.3469663730843537
16,beatnik,minivite,1.1600650609220018,1.3103243159644524
17,beatnik,quicksilver,1.165774089800606,1.0
19,beatnik,tricount,1.6314216101907923,1.1192404661770092
20,fiesta,amg,1.0160879731906767,1.0276386967957925
22,fiesta,fiesta,1.0,1.0
23,fiesta,kripke,1.2398948427399346,1.0081310416789717
24,fiesta,laghos,1.0,1.1768561080789017
25,fiesta,quicksilver,1.0189828567155859,1.025452531158076
26,kripke,kripke,1.0154844171440947,1.0
27,kripke,quicksilver,1.020714796658332,1.0
28,laghos,kripke,1.0814786302043236,1.0369834426003584
29,laghos,laghos,1.0,1.0
30,laghos,quicksilver,1.0,1.0115385674150412
31,lammps,amg,1.0683747951257176,1.0417183261836125
33,lammps,fiesta,1.0039396862955359,1.1032718046671606
34,lammps,kripke,1.0,1.0407995852446859
35,lammps,laghos,1.0,1.0
37,lammps,lammps,1.0,1.0
38,lammps,quicksilver,1.002824656509504,1.023853455229643
39,minife,amg,1.0,1.0
41,minife,fiesta,1.0,1.0
42,minife,kripke,1.0889563844203758,1.1018644301380112
43,minife,laghos,1.0,1.0
45,minife,lammps,1.0,1.0604161215392098
47,minife,minife,1.0,1.0
49,minife,minivite,1.0661518206356624,1.0645517145907033
50,minife,quicksilver,1.0,1.006710688279811
52,minife,tricount,1.729656189906879,1.0874245962515516
53,minivite,amg,1.0417878421800018,1.048582582223245
55,minivite,fiesta,1.1345499733404856,1.051299851134842
56,minivite,kripke,1.0496624029469306,1.0175352246700662
57,minivite,laghos,1.0507861041743498,1.31997919997075
59,minivite,lammps,1.0223950734515581,1.072164226903585
61,minivite,minivite,1.1346700222685353,1.173113798813138
62,minivite,quicksilver,1.019599339406439,1.0206494729529532
63,quicksilver,quicksilver,1.0046900313522498,1.0160760916430387
64,tricount,amg,1.056697056040777,1.8264301370449287
66,tricount,fiesta,1.0656087810160295,1.0
67,tricount,kripke,1.0650509436748354,1.0909147585953445
68,tricount,laghos,1.067473707813551,2.2093835756956532
70,tricount,lammps,1.0876624974705902,1.0
72,tricount,minivite,1.1037194625073146,1.287996296869102
73,tricount,quicksilver,1.0388571991096478,1.003622939586897
75,tricount,tricount,1.5402435889723212,1.5403611723334554
