,App A,App B,Num Nodes,App A Isolated Time,App B Isolated Time,App A Co-Scheduled Time with Inhib [MsgSz=35000_Wait=0us_Sparsity=0.2_Mode=d],App B Co-Scheduled Time with Inhib [MsgSz=35000_Wait=0us_Sparsity=0.2_Mode=d],App A Co-Scheduled Time with Inhib [MsgSz=35000_Wait=0us_Sparsity=1.0_Mode=d],App B Co-Scheduled Time with Inhib [MsgSz=35000_Wait=0us_Sparsity=1.0_Mode=d],App A Co-Scheduled Time with Inhib [MsgSz=35000_Wait=1000000us_Sparsity=0.2_Mode=d],App B Co-Scheduled Time with Inhib [MsgSz=35000_Wait=1000000us_Sparsity=0.2_Mode=d],App A Co-Scheduled Time with Inhib [MsgSz=35000_Wait=1000000us_Sparsity=1.0_Mode=d],App B Co-Scheduled Time with Inhib [MsgSz=35000_Wait=1000000us_Sparsity=1.0_Mode=d],App A Co-Scheduled Time with Inhib [MsgSz=35000000_Wait=0us_Sparsity=0.2_Mode=d],App B Co-Scheduled Time with Inhib [MsgSz=35000000_Wait=0us_Sparsity=0.2_Mode=d],App A Co-Scheduled Time with Inhib [MsgSz=35000000_Wait=0us_Sparsity=1.0_Mode=d],App B Co-Scheduled Time with Inhib [MsgSz=35000000_Wait=0us_Sparsity=1.0_Mode=d],App A Co-Scheduled Time with Inhib [MsgSz=35000000_Wait=1000000us_Sparsity=0.2_Mode=d],App B Co-Scheduled Time with Inhib [MsgSz=35000000_Wait=1000000us_Sparsity=0.2_Mode=d],App A Co-Scheduled Time with Inhib [MsgSz=35000000_Wait=1000000us_Sparsity=1.0_Mode=d],App B Co-Scheduled Time with Inhib [MsgSz=35000000_Wait=1000000us_Sparsity=1.0_Mode=d],App A Co-Scheduled Time with App B,App B Co-Scheduled Time with App A
0,beatnik,fiesta,1,727.25,586.4254385964912,734.5219298245614,585.671052631579,727.9561403508771,586.7456140350878,724.6315789473684,586.7675438596491,729.0350877192982,586.8684210526316,728.3991228070175,586.4561403508771,736.1315789473684,586.6929824561404,730.1228070175439,591.0131578947369,727.8333333333334,590.8991228070175,726.0701754385965,585.4561403508771
1,beatnik,lammps,1,727.25,522.0526315789474,734.5219298245614,519.0701754385965,727.9561403508771,526.8947368421052,724.6315789473684,522.7368421052631,729.0350877192982,519.7017543859649,728.3991228070175,520.1929824561403,736.1315789473684,528.7543859649122,730.1228070175439,519.5087719298245,727.8333333333334,527.140350877193,724.3333333333334,527.8245614035088
2,beatnik,minife,1,727.25,753.7719298245613,734.5219298245614,754.7017543859649,727.9561403508771,752.8421052631579,724.6315789473684,754.4561403508771,729.0350877192982,751.9122807017543,728.3991228070175,754.7017543859649,736.1315789473684,753.280701754386,730.1228070175439,754.9473684210526,727.8333333333334,752.5964912280701,732.5219298245614,754.4561403508771
3,beatnik,minivite,1,727.25,866.8421052631579,734.5219298245614,865.9122807017543,727.9561403508771,865.719298245614,724.6315789473684,862.438596491228,729.0350877192982,861.9473684210526,728.3991228070175,860.0877192982456,736.1315789473684,871.2456140350878,730.1228070175439,871.9298245614035,727.8333333333334,865.9122807017544,724.561403508772,866.5964912280701
4,beatnik,tricount,1,727.25,551.4561403508771,734.5219298245614,550.5263157894736,727.9561403508771,573.719298245614,724.6315789473684,550.7719298245613,729.0350877192982,550.3333333333333,728.3991228070175,562.3684210526316,736.1315789473684,550.0877192982456,730.1228070175439,555.1754385964912,727.8333333333334,551.0175438596491,735.859649122807,565.1578947368421
5,fiesta,lammps,1,586.4254385964912,522.0526315789474,585.671052631579,519.0701754385965,586.7456140350878,526.8947368421052,586.7675438596491,522.7368421052631,586.8684210526316,519.7017543859649,586.4561403508771,520.1929824561403,586.6929824561404,528.7543859649122,591.0131578947369,519.5087719298245,590.8991228070175,527.140350877193,585.2061403508771,522.9824561403509
6,fiesta,minife,1,586.4254385964912,753.7719298245613,585.671052631579,754.7017543859649,586.7456140350878,752.8421052631579,586.7675438596491,754.4561403508771,586.8684210526316,751.9122807017543,586.4561403508771,754.7017543859649,586.6929824561404,753.280701754386,591.0131578947369,754.9473684210526,590.8991228070175,752.5964912280701,588.7675438596491,755.3859649122807
7,fiesta,minivite,1,586.4254385964912,866.8421052631579,585.671052631579,865.9122807017543,586.7456140350878,865.719298245614,586.7675438596491,862.438596491228,586.8684210526316,861.9473684210526,586.4561403508771,860.0877192982456,586.6929824561404,871.2456140350878,591.0131578947369,871.9298245614035,590.8991228070175,865.9122807017544,585.9166666666666,866.5964912280701
8,fiesta,tricount,1,586.4254385964912,551.4561403508771,585.671052631579,550.5263157894736,586.7456140350878,573.719298245614,586.7675438596491,550.7719298245613,586.8684210526316,550.3333333333333,586.4561403508771,562.3684210526316,586.6929824561404,550.0877192982456,591.0131578947369,555.1754385964912,590.8991228070175,551.0175438596491,587.2456140350878,565.5964912280701
9,lammps,minife,1,522.0526315789474,753.7719298245613,519.0701754385965,754.7017543859649,526.8947368421052,752.8421052631579,522.7368421052631,754.4561403508771,519.7017543859649,751.9122807017543,520.1929824561403,754.7017543859649,528.7543859649122,753.280701754386,519.5087719298245,754.9473684210526,527.140350877193,752.5964912280701,533.8421052631579,755.578947368421
