,App A,App B,Num Nodes,App A Time Average Mean,App A Time Average Median,App A Time Average Std,App B Time Average Mean,App B Time Average Median,App B Time Average Std,App A MPI Time Average Mean,App A MPI Time Average Median,App A MPI Time Average Std,App B MPI Time Average Mean,App B MPI Time Average Median,App B MPI Time Average Std,App A Total Messages Sent Mean,App A Total Messages Sent Median,App A Total Messages Sent Std,App B Total Messages Sent Mean,App B Total Messages Sent Median,App B Total Messages Sent Std,App A Total Bytes Sent Mean,App A Total Bytes Sent Median,App A Total Bytes Sent Std,App B Total Bytes Sent Mean,App B Total Bytes Sent Median,App B Total Bytes Sent Std
0,amg,amg,8,345.0,345.5,2.1602468994692847,341.25,341.0,1.258305739211786,16.571261160714286,17.194151785714286,2.3726518966577013,12.247377232142856,11.55114955357143,1.736755893075811,106441449.0,106441449.0,0.0,106441449.0,106441449.0,0.0,1008232000000.0,1008232000000.0,0.0,0.0,0.0,0.0
1,amg,kripke,8,343.0,343.0,1.8257418583505562,354.75,355.0,0.4999999999999952,14.017204241071429,14.038917410714285,2.098622281870138,17.599776785714283,17.623214285714283,0.42996093263538127,106441449.0,106441449.0,0.0,302720.0,302720.0,0.0,1008232000000.0,1008232000000.0,0.0,388038679360.0,388038679360.0,0.0
2,amg,laghos,8,343.75,343.5,0.9574271077563307,359.75,359.5,9.069178573608518,14.706104910714286,14.775680803571428,1.4660298744296774,85.91244419642857,85.98203124999999,9.42273778317269,106441449.0,106441449.0,0.0,801311390.0,801311390.0,0.0,1008232000000.0,1008232000000.0,0.0,633722271800.0,633722271800.0,0.0
3,amg,quicksilver,8,341.75,341.5,0.9574271077563381,296.3766741071429,296.0,5.526456164387728,12.807433035714286,13.00669642857143,1.0622044325538227,135.48637276785715,135.0590625,5.406430908234883,106441449.0,106441449.0,0.0,762710.0,762710.0,0.0,1008232000000.0,1008232000000.0,0.0,160110400.0,160110400.0,0.0
4,beatnik,amg,8,407.43359375,407.92075892857144,2.641309758933864,345.75,346.0,1.4999999999999984,114.30524553571428,114.80357142857143,2.155174001193375,19.768080357142857,19.92232142857143,1.5804183679625385,19996182.0,19996182.0,0.0,106441449.0,106441449.0,0.0,10926550043000.0,10926550043000.0,0.0,1008232000000.0,1008232000000.0,0.0
5,beatnik,beatnik,1,372.1607142857143,372.5,6.081679022103277,369.58482142857144,370.2946428571429,3.486227000494889,84.19107142857143,83.99017857142857,1.4357194681261591,83.48392857142856,82.97767857142857,1.4135016164574647,375894.0,375894.0,0.0,375894.0,375894.0,0.0,1305996005380.0,1305996005380.0,0.0,0.0,0.0,0.0
6,beatnik,beatnik,8,449.0541294642857,450.10825892857144,18.916478228440003,448.921875,449.0189732142857,18.974307654070483,158.35044642857142,158.19866071428572,20.520293932186995,158.78069196428572,158.70535714285717,20.291470371730245,19996182.0,19996182.0,0.0,19996182.0,19996182.0,0.0,10926550043000.0,10926550043000.0,0.0,0.0,0.0,0.0
7,beatnik,fiesta,1,369.3928571428571,370.0,4.664783390644477,298.1428571428571,298.2232142857143,0.8290279940786071,83.52633928571429,83.61160714285714,0.7712182459642547,37.67388392857143,37.77928571428571,2.490450734990381,375894.0,375894.0,0.0,67200.0,67200.0,0.0,1305996005380.0,1305996005380.0,0.0,170600000000.0,170600000000.0,0.0
8,beatnik,fiesta,8,407.75,409.0,6.291528696058952,353.3203125,353.40959821428567,0.5367874296023379,115.28091517857143,116.18861607142857,4.828960419585489,58.049553571428575,58.72522321428572,1.9593022891444307,19996182.0,19996182.0,0.0,645120.0,645120.0,0.0,10926550043000.0,10926550043000.0,0.0,1640000000000.0,1640000000000.0,0.0
9,beatnik,kripke,8,413.9927455357143,414.5044642857143,4.535218242100482,355.75,356.0,0.5,120.41852678571428,121.703125,5.039774074040239,18.555078124999998,18.592745535714286,0.4707585360852615,19996182.0,19996182.0,0.0,302720.0,302720.0,0.0,10926550043000.0,10926550043000.0,0.0,388038679360.0,388038679360.0,0.0
10,beatnik,laghos,8,409.8872767857143,409.04017857142856,7.388585160603394,373.5,385.5,27.790885796126283,115.81004464285715,116.46763392857143,8.274786629471878,100.02315848214286,112.42522321428572,28.472376481587684,19996182.0,19996182.0,0.0,801311390.0,801311390.0,0.0,10926550043000.0,10926550043000.0,0.0,633722271800.0,633722271800.0,0.0
11,beatnik,lammps,1,368.5178571428571,369.9107142857143,4.518903981860983,268.5,268.5,2.886751345948134,82.62723214285714,82.69732142857143,0.6391982099596738,4.6421875,4.622142857142856,1.419661278519296,375894.0,375894.0,0.0,44688.0,44688.0,0.0,1305996005380.0,1305996005380.0,0.0,72722088150.0,72722088150.0,0.0
12,beatnik,lammps,8,409.1891741071429,408.0022321428571,3.9134403953517696,354.75,354.5,5.0579969684978385,117.08816964285714,116.10825892857143,4.3326364353068545,19.381171875,18.831171875,4.387772403536717,19996182.0,19996182.0,0.0,457408.0,457408.0,0.0,10926550043000.0,10926550043000.0,0.0,670420822000.0,670420822000.0,0.0
