,App,Num Nodes,Inhib Message Size,Inhib Wait Time (us),Inhib Comm Sparsity,Run Iteration,App Time Average,MPI Time Average,Total Messages Sent,Total Bytes Sent,Inhib App Time Average,Inhib MPI Time Average,Inhib Total Messages Sent,Inhib Total Bytes Sent
0,tricount,8,500,50000,0.01,1,390.0,215.59821428571428,7120960,10200000956600.0,281.0,2.441227678571429,9933056,4970000000.0
1,quicksilver,8,20000,100,0.5,3,290.0,129.34656249999998,762710,160110400.0,295.0,281.2924107142857,1196396544,23900000000000.0
2,lammps,8,4000,0,1.0,1,364.0,27.473013392857144,457408,670420822000.0,266.0,263.0,386293824,1550000000000.0
3,quicksilver,8,20000,100000,0.5,2,301.90625,138.88645089285714,762710,160110400.0,295.0,105.0,188762112,3780000000000.0
4,quicksilver,8,2000,1000000,0.1,2,299.0,138.32035714285715,762710,160110400.0,296.0,0.5296294642857143,5947200,11900000000.0
5,beatnik,8,400000,100,0.5,1,490.3125,196.13839285714286,19996182,10926550043000.0,372.0,371.0,72353792,28900000000000.0
6,tricount,8,4000,10000,0.5,3,391.0,217.41964285714286,7120960,10200000956600.0,281.0,195.5,770201600,3080000000000.0
7,lammps,8,40000,1000000,0.3,3,355.0,19.064620535714287,457408,670420822000.0,267.0,11.599999999999996,15308160,612000000000.0
8,beatnik,8,200000,100000,0.1,2,448.0,157.890625,19996182,10926550043000.0,371.0,154.0,43626240,8730000000000.0
9,amg,8,4000000,1000000,1.0,3,365.0,49.44464285714285,106441449,1008232000000.0,343.0,319.0,4806144,19200000000000.0
10,beatnik,8,2000,10000,0.1,2,421.00223214285717,128.55133928571428,19996182,10926550043000.0,371.0,65.16205357142857,594135360,1190000000000.0
11,beatnik,8,2000,0,0.5,2,426.01785714285717,132.33035714285714,19996182,10926550043000.0,371.0,369.0,305371136,611000000000.0
12,minife,8,20000,0,0.3,2,386.890625,15.460870535714287,6788000,382248662610.0,384.0,369.74776785714283,1326707200,26500000000000.0
13,fiesta,8,500,10000,0.01,2,352.89285714285717,58.979910714285715,645120,1640000000000.0,299.0,6.697589285714286,51131136,25600000000.0
14,tricount,8,2000,100000,0.3,2,398.0,224.15178571428572,7120960,10200000956600.0,281.0,88.71607142857144,114781184,230000000000.0
15,minivite,8,400000,10000,0.7,2,409.0,89.54375,24089720,1134700459640.0,442.0044642857143,436.0,77543872,31000000000000.0
16,kripke,8,2000000,1000000,1.0,1,358.0,21.226785714285715,302720,388038679360.0,362.0,311.0,10213056,20400000000000.0
17,beatnik,8,400000,1000000,0.3,2,440.95982142857144,147.12053571428572,19996182,10926550043000.0,372.0,95.52767857142858,16568832,6630000000000.0
18,minife,8,400000,10000,0.5,2,403.0,35.00044642857143,6788000,382248662610.0,384.0,376.0,74461184,29800000000000.0
19,kripke,8,4000,100,0.3,2,354.0,16.979017857142857,302720,388038679360.0,355.0,350.02901785714283,394650368,1580000000000.0
20,laghos,8,4000000,10000,0.7,0,498.0,226.421875,801311390,633722271800.0,335.0,334.0,7431872,29700000000000.0
21,tricount,8,400000,1000,0.5,3,438.0,264.38839285714283,7120960,10200000956600.0,281.0,280.7857142857143,48269312,19300000000000.0
22,quicksilver,8,4000,1000000,0.7,0,299.0,137.64758928571428,762710,160110400.0,295.0,22.9,38140928,153000000000.0
23,minivite,8,2000000,1000,0.5,3,398.0,80.84709821428571,24089720,1134700459640.0,443.0,442.0,19267584,38500000000000.0
24,fiesta,8,4000000,0,0.1,1,357.24776785714283,60.74145089285714,645120,1640000000000.0,299.0,299.0,6733440,26900000000000.0
25,tricount,8,40000,1000,0.3,0,470.0,294.27232142857144,7120960,10200000956600.0,281.0,277.0,152121088,6080000000000.0
26,laghos,8,20000,100000,0.3,1,349.0,74.25625000000001,801311390,633722271800.0,332.0,44.489062499999996,171331328,3430000000000.0
27,fiesta,8,20000,0,0.7,2,353.3325892857143,58.31183035714286,645120,1640000000000.0,299.0,291.50669642857144,784553280,15700000000000.0
28,kripke,8,40000,100,0.1,2,356.0,18.87566964285714,302720,388038679360.0,355.0,345.1875,498476160,19900000000000.0
29,kripke,8,4000,100000,0.3,2,356.0,17.946428571428573,302720,388038679360.0,355.0,105.0,149179520,597000000000.0
30,lammps,8,4000,1000,0.7,2,353.0,19.561116071428568,457408,670420822000.0,266.0,258.94419642857144,476621376,1910000000000.0
31,quicksilver,8,2000000,0,1.0,0,303.0,140.41361607142858,762710,160110400.0,300.0,300.0,13216896,26400000000000.0
32,beatnik,8,200000,1000000,0.3,2,457.0,165.16964285714286,19996182,10926550043000.0,372.0,70.91383928571427,18069632,3610000000000.0
33,minife,8,4000,1000000,0.7,0,389.08482142857144,17.481473214285717,6788000,382248662610.0,385.0,71.40133928571427,43890112,176000000000.0
34,lammps,8,4000000,10000,0.5,1,358.0,23.716517857142858,457408,670420822000.0,270.00669642857144,270.0,5419008,21700000000000.0
35,minivite,8,20000,100000,0.5,2,384.0,62.23370535714285,24089720,1134700459640.0,442.0,120.26785714285714,319621120,6390000000000.0
36,fiesta,8,4000,10000,0.7,1,366.3794642857143,97.83437500000001,645120,1640000000000.0,299.0,273.046875,319570496,1280000000000.0
37,amg,8,2000,1000,0.5,2,345.0,15.078281250000002,106441449,1008232000000.0,343.0,333.99776785714283,546516992,1090000000000.0
38,minivite,8,20000,10000,0.7,0,423.0,83.07388392857145,24089720,1134700459640.0,442.0,337.18526785714283,1304223424,26100000000000.0
39,kripke,8,40000,100,0.7,2,382.0,30.77857142857143,302720,388038679360.0,355.0,352.0,288721216,11500000000000.0
40,fiesta,8,20000,100,0.7,2,377.01339285714283,92.98928571428571,645120,1640000000000.0,299.0,292.0,692846784,13900000000000.0
41,amg,8,2000,100,0.7,0,347.0,17.395758928571432,106441449,1008232000000.0,343.0,339.0044642857143,525840000,1050000000000.0
42,tricount,8,400000,100000,1.0,1,608.0,434.1986607142857,7120960,10200000956600.0,281.0,263.0,36847104,14700000000000.0
43,fiesta,8,40000,100000,0.7,0,368.39285714285717,86.73482142857142,645120,1640000000000.0,299.0,162.25669642857142,189302400,7570000000000.0
44,tricount,8,40000,100,0.5,2,400.0,226.91071428571428,7120960,10200000956600.0,281.0,277.0044642857143,342300672,13700000000000.0
45,quicksilver,8,200000,1000,0.3,2,301.0,137.83703125,762710,160110400.0,295.0,289.9732142857143,192702720,38500000000000.0
46,fiesta,8,40000,10000,1.0,1,352.9486607142857,57.064508928571435,645120,1640000000000.0,299.0,281.0,312799872,12500000000000.0
47,quicksilver,8,4000000,10000,0.3,3,293.0,132.00564732142857,762710,160110400.0,295.0,294.0,7383936,29500000000000.0
48,laghos,8,4000,1000000,0.1,3,361.0,87.61205357142856,801311390,633722271800.0,332.0,0.9501986607142856,6672960,26700000000.0
49,amg,8,500,50000,0.05,0,342.0,11.916004464285715,106441449,1008232000000.0,343.0,4.738102678571429,66252032,33100000000.0
