,Num Nodes,Inhib Message Size,Inhib Wait Time (us),Inhib Comm Sparsity,Run Iteration,Inhib App Time Average,Inhib MPI Time Average,Inhib Total Messages Sent,Inhib Total Bytes Sent
0,8,400000,0,1.0,0,361.0,360.0,61278336,24500000000000.0
1,8,20000,100,0.1,2,360.0,338.2142857142857,1199197440,24000000000000.0
2,8,4000000,10000,0.3,3,361.0,359.0,9064832,36300000000000.0
3,8,2000000,10000,1.0,3,364.0,363.0,13817664,27600000000000.0
4,8,40000,10000,0.5,2,360.0,293.0424107142857,611745792,24500000000000.0
5,8,400000,100000,0.1,0,360.0,161.0,40017600,16000000000000.0
6,8,4000000,10000,0.7,2,360.0,359.8861607142857,7431872,29700000000000.0
7,8,2000,1000,0.1,2,360.0,119.30357142857143,3798365760,7600000000000.0
8,8,4000,0,0.3,2,360.0,353.52901785714283,528401664,2110000000000.0
9,8,400000,1000,0.5,3,360.0,359.0,63723520,25500000000000.0
10,8,2000000,1000000,0.5,0,362.0,244.0,11841536,23700000000000.0
11,8,20000,1000,0.5,0,360.0,333.8794642857143,1290326016,25800000000000.0
12,8,2000000,1000,1.0,2,364.0,364.0,11414592,22800000000000.0
13,8,40000,100000,0.5,1,360.0,114.99107142857143,243955712,9760000000000.0
14,8,4000,100,0.7,1,360.0,353.8013392857143,489662208,1960000000000.0
15,8,2000000,100000,0.1,2,360.0,283.0,15583680,31200000000000.0
16,8,4000000,100000,0.5,3,361.9955357142857,354.0,7124992,28500000000000.0
17,8,2000,1000,0.5,2,360.0,352.7544642857143,402411520,805000000000.0
18,8,400000,100,1.0,3,360.0,360.0,64081920,25600000000000.0
19,8,2000000,100000,1.0,1,361.0,353.0,14418432,28800000000000.0
20,8,2000000,100000,0.5,0,361.0,345.0,16056320,32100000000000.0
21,8,4000,1000000,0.7,3,361.0,35.166294642857146,45572800,182000000000.0
22,8,20000,100,0.7,3,360.0,345.4330357142857,1374335424,27500000000000.0
23,8,4000000,10000,0.5,3,362.0,361.0,7124992,28500000000000.0
24,8,40000,10000,0.3,1,360.0,259.77232142857144,560398720,22400000000000.0
25,8,200000,100000,0.7,3,360.0,269.0,126482048,25300000000000.0
26,8,200000,1000000,1.0,2,361.0,103.0,51465792,10300000000000.0
27,8,40000,1000,0.1,3,360.0,311.91294642857144,683303040,27300000000000.0
28,8,40000,0,0.3,2,360.0,354.15625,522158336,20900000000000.0
29,8,20000,1000000,1.0,2,360.0,16.504464285714285,68687808,1370000000000.0
30,8,4000000,1000000,0.1,2,361.0,144.0,4374720,17500000000000.0
31,8,4000000,1000000,0.7,2,366.0111607142857,323.0,6029632,24100000000000.0
32,8,2000,1000,0.7,2,360.0,354.75,340463872,681000000000.0
33,8,20000,10000,0.7,1,360.0,272.08705357142856,1089820928,21800000000000.0
34,8,2000000,1000000,1.0,2,361.0,299.0,12415872,24800000000000.0
35,8,2000000,1000,0.5,2,361.0,360.0,13146112,26300000000000.0
36,8,200000,10000,1.0,0,360.0,352.0,143984064,28800000000000.0
37,8,40000,1000000,0.7,3,360.0,22.911830357142858,47255488,1890000000000.0
