,App,Num Nodes,Run Iteration,App Time Average,MPI Time Average,Total Messages Sent,Total Bytes Sent
0,minivite,8,0,377.0,54.955803571428575,24089720,1134700459640.0
1,lammps,8,3,355.0,17.36401785714286,457408,670420822000.0
2,beatnik,1,1,360.7142857142857,83.93214285714284,375894,1305996005380.0
3,fiesta,1,1,298.5,35.058749999999996,67200,170600000000.0
4,beatnik,1,0,374.89285714285717,83.15357142857142,375894,1305996005380.0
5,beatnik,8,2,403.98214285714283,104.77522321428572,19996182,10926550043000.0
6,minivite,8,3,370.0,51.56897321428571,24089720,1134700459640.0
7,lammps,8,1,350.0,13.770691964285716,457408,670420822000.0
8,fiesta,1,0,298.5892857142857,37.48017857142857,67200,170600000000.0
9,minife,8,2,388.0,13.279821428571427,6788000,382248662610.0
10,fiesta,8,3,357.8013392857143,63.504241071428574,645120,1640000000000.0
11,minife,1,2,384.0,9.889821428571429,637048,40726202806.0
12,kripke,8,2,355.0,17.296651785714285,302720,388038679360.0
13,tricount,8,3,377.0,203.04464285714286,7120960,10200000956600.0
14,quicksilver,8,1,295.0,133.7421875,762710,160110400.0
15,lammps,8,2,357.0,17.785245535714285,457408,670420822000.0
16,fiesta,8,0,364.59151785714283,73.8736607142857,645120,1640000000000.0
17,fiesta,8,2,356.8325892857143,60.82209821428571,645120,1640000000000.0
18,quicksilver,8,2,295.0,133.9377455357143,762710,160110400.0
19,tricount,8,2,383.0,208.75,7120960,10200000956600.0
20,tricount,1,3,280.0,48.97142857142857,243320,2510000237640.0
21,laghos,8,3,350.0,72.81517857142856,801311390,633722271800.0
22,minife,1,0,385.0,10.217500000000001,637048,40726202806.0
23,quicksilver,8,3,296.0,134.96919642857142,762710,160110400.0
24,minife,8,1,388.0,13.530446428571427,6788000,382248662610.0
25,fiesta,1,3,298.85714285714283,37.48500000000001,67200,170600000000.0
26,minivite,1,3,439.0,26.208928571428572,747720,143780111184.0
27,lammps,1,3,268.0,3.2437499999999995,44688,72722088150.0
28,tricount,8,1,381.0,207.515625,7120960,10200000956600.0
29,beatnik,8,1,399.01339285714283,98.00982142857143,19996182,10926550043000.0
30,laghos,8,0,331.0,54.542633928571426,801311390,633722271800.0
31,kripke,8,0,354.0,16.50379464285714,302720,388038679360.0
32,minivite,1,2,444.0,27.93392857142857,747720,143780111184.0
33,minife,8,0,388.0,13.560044642857141,6788000,382248662610.0
34,minife,1,1,382.0,8.69375,637048,40726202806.0
35,laghos,8,2,333.015625,56.46383928571429,801311390,633722271800.0
36,fiesta,8,1,357.140625,64.50178571428572,645120,1640000000000.0
37,lammps,1,0,265.0,3.3519642857142857,44688,72722088150.0
38,quicksilver,8,0,294.0,133.33285714285714,762710,160110400.0
39,minife,8,3,389.0,14.035111607142856,6788000,382248662610.0
40,lammps,1,1,262.0,3.238035714285714,44688,72722088150.0
41,minivite,1,0,441.0,28.901785714285715,747720,143780111184.0
42,tricount,8,0,371.0,196.97991071428572,7120960,10200000956600.0
43,beatnik,1,2,369.98214285714283,85.92678571428571,375894,1305996005380.0
44,beatnik,8,0,393.0,97.86763392857142,19996182,10926550043000.0
45,lammps,8,0,357.0,20.604933035714286,457408,670420822000.0
46,minife,1,3,384.0,10.000892857142857,637048,40726202806.0
47,beatnik,8,3,394.9419642857143,98.97276785714287,19996182,10926550043000.0
48,amg,8,3,343.0,13.290558035714286,106441449,1008232000000.0
49,tricount,1,0,282.0,50.169642857142854,243320,2510000237640.0
50,minivite,1,1,441.0,28.240892857142853,747720,143780111184.0
51,tricount,1,1,280.0,49.34464285714285,243320,2510000237640.0
52,fiesta,1,2,298.7857142857143,39.04071428571428,67200,170600000000.0
53,beatnik,1,3,375.0,86.06428571428572,375894,1305996005380.0
54,lammps,1,2,268.0,3.2542857142857144,44688,72722088150.0
55,minivite,8,1,367.0,48.37232142857143,24089720,1134700459640.0
56,amg,8,2,343.0,13.080870535714284,106441449,1008232000000.0
57,amg,8,0,341.0,11.301919642857143,106441449,1008232000000.0
58,tricount,1,2,280.0,49.60357142857142,243320,2510000237640.0
59,kripke,8,1,354.0,16.59375,302720,388038679360.0
60,laghos,8,1,310.93526785714283,35.958258928571425,801311390,633722271800.0
61,amg,8,1,343.0,13.438995535714286,106441449,1008232000000.0
62,kripke,8,3,355.0,17.632142857142856,302720,388038679360.0
63,minivite,8,2,371.0,51.49196428571429,24089720,1134700459640.0
